,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
65,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.1,3.1,3.0,3.0,3.0,3.0
66,3.0,3.0,3.1,3.0,3.0,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0
67,3.1,3.1,3.1,3.2,3.1,3.2,3.3,3.2,3.3,3.1,3.1,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,2.9,3.0,3.1,3.0,2.9,2.8,2.8
68,3.1,3.0,3.0,3.1,3.1,3.2,3.2,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1
69,3.1,3.1,3.0,3.1,3.2,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.0,3.0,3.0,3.0,3.1,3.0,3.0,3.0,3.0
70,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.0,3.0,3.0
71,3.0,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.2,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.0,3.0,3.0
72,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.0,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9,3.0,2.9,3.0,3.2,3.4
73,3.1,3.1,3.2,3.1,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.0,3.1,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,2.9,2.9,3.0,3.1,3.3,3.3
74,3.2,3.2,3.2,3.3,3.2,3.2,3.2,3.1,3.1,3.2,3.2,3.1,3.0,3.1,3.0,3.1,3.0,3.0,2.9,3.1,3.0,3.0,3.0,2.9,2.9,2.9,3.0,3.2,3.0,3.0,3.0,3.1
75,2.8,2.8,2.8,2.8,2.7,2.8,2.7,2.9,2.9,2.9,2.8,2.8,2.9,2.9,2.9,2.9,2.9,3.0,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.5,3.6,3.7,3.8,3.7,3.7,3.7
